"trial","ref_position","var_area","response","correct","rt"
1,"L",12.0559877362102,"L",FALSE,10.0940001010895
2,"L",13.6166166730691,"R",TRUE,8.49399995803833
3,"L",13.9486283194274,"R",TRUE,2.8989999294281
4,"L",12.3564809621312,"R",TRUE,1.99600005149841
5,"L",12.9035622542724,"R",TRUE,1.7960000038147
6,"L",10.8828783584759,"R",TRUE,1.8970000743866
7,"L",13.9116760094184,"R",TRUE,1.2960000038147
8,"L",8.77076578047127,"R",FALSE,0.794999837875366
9,"L",14.615885972511,"R",TRUE,1.2960000038147
10,"R",11.7810932162683,"L",TRUE,2.09400010108948
11,"R",8.59901442029513,"R",TRUE,1.49499988555908
12,"R",8.74830746138468,"R",TRUE,1.89499998092651
13,"R",10.0066179560963,"L",TRUE,2.69400000572205
14,"L",8.95549984206446,"L",TRUE,2.19599986076355
15,"R",10.1335680950433,"R",FALSE,1.39400005340576
16,"R",9.23902829783037,"L",TRUE,1.99600005149841
17,"R",12.4137544562109,"L",TRUE,1.4760000705719
18,"L",12.0286477722693,"R",TRUE,1.59500002861023
19,"R",11.9950079836417,"L",TRUE,1.29499983787537
20,"L",10.4979140649084,"R",TRUE,0.995000123977661
21,"L",12.6297514028847,"R",TRUE,1.09600019454956